Апартаменты на окраине	Дружелюбный гестхаус на берегу реки	2024-04-06T06:30:52.300Z	Cologne	small-apartment.jpg	country-house.jpg	false	true	2.7774269672124383	room	2	5	43437	Washer,Towels,Fridge	Роланд Дискейн	email4@gmail.com	flat.jpg	2	51.225402;6.776314
Квартира в центре	Уединенный коттедж на окраине города	2024-04-05T06:30:52.301Z	Paris	big-apartment.jpg	flat.jpg,small-apartment.jpg,cottage.jpg,country-house.jpg	true	false	3.3046438350107303	room	8	2	7893	Baby Seat,Washer,Towels,Fridge	Пьер Безухов	email4@gmail.com	big-apartment.jpg	3	50.846557;4.351697
Апартаменты на окраине	Романтичный отель с видом на океан	2024-04-04T06:30:52.302Z	Hamburg	cottage.jpg	flat.jpg,small-apartment.jpg,cottage.jpg,country-house.jpg	false	false	4.630156473137628	room	7	2	91914	Breakfast	Пьер Безухов	email2@ya.ru	small-apartment.jpg	9	52.370216;4.895168
Квартира в центре	Дружелюбный гестхаус на берегу реки	2024-04-08T06:30:52.302Z	Cologne	small-apartment.jpg	big-apartment.jpg,flat.jpg,small-apartment.jpg	false	false	3.689196862764165	hotel	6	5	16190	Laptop friendly workspace,Baby Seat,Washer	Пьер Безухов	email3@mail.ru	cottage.jpg	3	51.225402;6.776314
Изба на курьих-ножках	Эксклюзивный отель в историческом здании	2024-04-04T06:30:52.302Z	Amsterdam	big-apartment.jpg	cottage.jpg,country-house.jpg	false	true	4.072700048395453	apartment	3	4	36974	Fridge	Джек Торренс	email2@ya.ru	flat.jpg	8	50.846557;4.351697
Квартира в центре	Современный хостел в центре города	2024-04-08T06:30:52.302Z	Amsterdam	city-house.jpg	flat.jpg,small-apartment.jpg	true	false	2.957658279056947	room	3	2	38622	Washer,Towels,Fridge	Пьер Безухов	email3@mail.ru	big-apartment.jpg	1	50.938361;6.959974
Квартира с видом на море	Семейный отель с бассейном и садом	2024-04-08T06:30:52.302Z	Brussels	country-house.jpg	big-apartment.jpg,flat.jpg,small-apartment.jpg,cottage.jpg	true	false	4.910766741366785	hotel	5	7	80694	Breakfast	Холи Гибни	email3@mail.ru	big-apartment.jpg	9	53.550341;10.000654
Квартира с видом на море	Семейный отель с бассейном и садом	2024-04-05T06:30:52.302Z	Amsterdam	small-apartment.jpg	city-house.jpg,big-apartment.jpg,flat.jpg	false	true	2.7069596295693126	house	2	3	8742	Laptop friendly workspace,Baby Seat,Washer,Towels,Fridge	Джек Торренс	email3@mail.ru	flat.jpg	1	50.846557;4.351697
Дом за городом	Уютный отель рядом с пляжем	2024-04-07T06:30:52.302Z	Cologne	city-house.jpg	flat.jpg,small-apartment.jpg,cottage.jpg,country-house.jpg	false	true	3.0942489951774714	house	3	5	45424	Laptop friendly workspace,Baby Seat	Рокки Бальбоа	email2@ya.ru	flat.jpg	6	52.370216;4.895168
Квартира с видом на море	Эксклюзивный отель в историческом здании	2024-04-06T06:30:52.302Z	Brussels	cottage.jpg	cottage.jpg,country-house.jpg	true	true	4.743249872662692	apartment	5	5	65371	Washer,Towels,Fridge	Борис Гесер	email2@ya.ru	big-apartment.jpg	3	51.225402;6.776314
